venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,total,canal,sucursal_id,vendedor
VEN000061,CLI00881,PROD0124,2024-03-27,4,12373.44,49493.76,Distribuidor,SUC010,
VEN000062,CLI00547,PROD0283,2024-04-29,6,2863.57,17181.42,Tienda,SUC001,
VEN000063,CLI01197,PROD0163,2023-12-18,4,14627.56,58510.24,Marketplace,SUC004,
VEN000064,CLI00036,PROD0083,2026-03-15,2,1018.95,2037.9,,SUC010,L. Pérez
VEN000065,CLI00996,PROD0064,2024-05-19,2,4158.06,8316.12,Marketplace,SUC004,M. Rojas
VEN000066,CLI00942,PROD0313,2023-12-22,3,4932.83,14798.49,Tienda,SUC005,A. Torres
VEN000067,CLI00007,PROD0123,2025-03-02,5,2204.21,11021.05,Marketplace,SUC004,M. Rojas
VEN000068,CLI00206,PROD0042,2025-06-28,7,7088.47,49619.29,Marketplace,SUC003,C. Vargas
VEN000069,CLI00779,PROD0012,2024-07-10,9,13150.61,118355.49,Tienda,SUC999,C. Vargas
VEN000070,CLI00895,PROD0269,2024-10-21,6,12776.23,76657.38,Online,SUC008,
VEN000071,CLI00795,PROD0227,2024-02-25,10,7883.57,78835.7,Call Center,SUC003,A. Torres
VEN000072,CLI00774,PROD0087,2024-02-29,7,12424.92,86974.44,Tienda,SUC006,L. Pérez
VEN000073,CLI00830,PROD0141,2024-04-17,4,7625.21,35745.37,Marketplace,SUC010,C. Vargas
VEN000074,CLI00050,PROD0289,2023-05-13,4,4736.45,18945.8,Marketplace,SUC001,C. Vargas
VEN000075,CLI01171,PROD0177,2025-02-19,6,1374.17,8245.02,Online,SUC008,C. Vargas
VEN000076,CLI00913,PROD0218,2025-06-14,2,2371.03,4742.06,Call Center,SUC006,M. Rojas
VEN000077,CLI00552,PROD0188,2025-09-07,5,12678.56,63392.8,Tienda,SUC003,M. Rojas
VEN000078,CLI01200,PROD0331,2025-12-23,9,797.92,7181.28,Tienda,SUC001,C. Vargas
VEN000079,CLI00747,PROD0025,2023-07-04,4,6932.22,27728.88,,SUC003,A. Torres
VEN000080,CLI01133,PROD0026,2023-06-12,5,4691.78,23458.9,Distribuidor,SUC005,C. Vargas
VEN000081,CLI00306,PROD0151,2025-06-11,3,10851.71,32555.13,Call Center,SUC003,M. Rojas
VEN000082,CLI00839,PROD0160,2025-12-02,3,6825.24,20475.72,Online,SUC004,A. Torres
VEN000083,CLI00107,PROD0294,2024-08-13,3,12455.18,37365.54,Distribuidor,SUC008,C. Vargas
VEN000084,CLI00344,PROD0121,2024-02-05,1,14125.34,14125.34,Distribuidor,SUC002,A. Torres
VEN000085,CLI00208,PROD0138,2025-12-29,3,13930.56,41791.68,Online,SUC008,
VEN000086,CLI00756,PROD0092,2025-12-28,3,5472.73,16418.19,Tienda,SUC004,A. Torres
VEN000087,CLI00667,PROD0088,2025-11-17,5,1599.16,7995.8,Online,SUC009,
VEN000088,CLI00117,PROD0202,2023-12-09,3,8635.17,25905.51,Online,SUC008,M. Rojas
VEN000089,CLI00271,PROD0124,2025-01-22,0,12373.44,0.0,Distribuidor,SUC005,C. Vargas
VEN000090,CLI00504,PROD0233,2023-08-14,3,12260.03,36780.09,,SUC004,M. Rojas
VEN000091,CLI00087,PROD0035,2023-10-06,7,6873.86,48117.02,Online,SUC005,C. Vargas
VEN000092,CLI01084,PROD0251,2026-02-01,7,12782.67,89478.69,Distribuidor,SUC007,
VEN000093,CLI00956,PROD0332,2024-12-25,9,5552.34,49971.06,Distribuidor,SUC010,C. Vargas
VEN000094,CLI00515,PROD0269,2023-12-08,7,12776.23,89433.61,Distribuidor,SUC008,M. Rojas
VEN000095,CLI00075,PROD0106,2025-01-22,2,4534.42,9068.84,Call Center,SUC002,
VEN000096,CLI00845,PROD0196,2024-09-05,7,3718.01,26026.07,Call Center,SUC001,L. Pérez
VEN000097,CLI00998,PROD0102,2024-03-17,1,2702.59,2702.59,Marketplace,SUC999,M. Rojas
VEN000098,CLI00922,PROD0303,2024-09-10,3,7389.56,22168.68,Marketplace,SUC004,M. Rojas
VEN000099,CLI00034,PROD0117,2024-06-01,8,11452.29,91618.32,Marketplace,SUC007,C. Vargas
VEN000100,CLI00953,PROD0191,2025-08-06,4,14391.66,57566.64,Tienda,SUC007,A. Torres
VEN000101,CLI91659,PROD0075,2025-02-05,5,5312.77,26563.85,Online,SUC006,C. Vargas
VEN000102,CLI00792,PROD0335,2023-06-09,7,6855.91,47991.37,Distribuidor,SUC005,L. Pérez
VEN000103,CLI01050,PROD0283,2023-03-24,8,2863.57,22908.56,Marketplace,SUC002,L. Pérez
VEN000104,CLI00679,PROD0100,2025-11-03,5,6007.44,30037.2,Tienda,SUC001,A. Torres
VEN000105,CLI00299,PROD0288,2023-05-03,5,10920.88,54604.4,Online,SUC009,M. Rojas
VEN000106,CLI01068,PROD0191,2025-07-07,1,14391.66,14391.66,Marketplace,SUC006,
VEN000107,CLI00943,PROD0178,2024-10-30,10,6354.03,63540.3,Call Center,SUC006,A. Torres
VEN000108,CLI01059,PROD0300,2025-06-16,2,13656.68,27313.36,Marketplace,SUC007,
VEN000109,CLI00075,PROD0342,2026-03-05,9,5234.48,47110.32,Distribuidor,SUC002,M. Rojas
VEN000110,CLI00774,PROD0170,2024-07-01,8,8930.07,71440.56,Tienda,SUC003,M. Rojas
VEN000111,CLI00191,PROD0316,2024-07-18,7,7412.21,51885.47,Marketplace,SUC004,A. Torres
VEN000112,CLI00091,PROD0156,2023-09-30,1,3797.53,3797.53,Tienda,SUC007,
VEN000113,CLI00397,PROD0214,2025-05-24,3,463.42,1390.26,Distribuidor,SUC010,L. Pérez
VEN000114,CLI00432,PROD0001,2023-12-01,2,9563.34,19126.68,Online,SUC005,C. Vargas
VEN000115,CLI00136,PROD0113,2023-12-06,8,4535.92,36287.36,,SUC008,A. Torres
VEN000116,CLI00164,PROD0343,2024-12-02,8,11287.31,90298.48,Distribuidor,SUC006,C. Vargas
VEN000117,CLI00529,PROD0296,2026-01-27,9,9136.87,82231.83,,SUC006,L. Pérez
VEN000118,CLI01079,PROD0080,2025-12-01,10,10995.61,109956.1,,SUC005,
VEN000119,CLI00503,PROD0116,2025-06-07,1,4628.17,4628.17,Marketplace,SUC005,L. Pérez
VEN000120,CLI01043,PROD0154,2025-04-08,8,11243.35,89946.8,Online,SUC010,L. Pérez
VEN000121,CLI00528,PROD0055,2026-02-10,3,6998.21,20994.63,Tienda,SUC004,M. Rojas
VEN000122,CLI00951,PROD0079,2026-01-15,2,9564.43,19128.86,Distribuidor,SUC006,C. Vargas
VEN000123,CLI00819,PROD0215,2024-11-09,10,3314.69,33146.9,Call Center,SUC002,M. Rojas
VEN000124,CLI00333,PROD0320,2023-05-16,8,11494.77,91958.16,Call Center,SUC001,C. Vargas
VEN000125,CLI00832,PROD0222,2025-04-28,3,2075.36,6226.08,Marketplace,SUC001,L. Pérez
VEN000126,CLI00759,PROD0061,2024-04-27,5,5099.7,25498.5,Marketplace,SUC008,C. Vargas
VEN000127,CLI01206,PROD0110,2025-05-30,7,13405.84,93840.88,Tienda,SUC005,M. Rojas
VEN000128,CLI00338,PROD0173,2024-10-31,3,2179.01,6537.03,Distribuidor,SUC007,A. Torres
VEN000129,CLI00207,PROD0043,2023-01-18,2,11457.69,22915.38,Tienda,SUC009,C. Vargas
VEN000130,CLI01009,PROD0048,2023-04-16,3,4310.21,12930.63,Online,SUC008,M. Rojas
VEN000131,CLI00067,PROD0069,2025-01-21,5,12822.62,64113.1,,SUC999,L. Pérez
VEN000132,CLI01172,PROD0045,2023-12-05,1,11119.42,11119.42,Call Center,SUC006,A. Torres
VEN000133,CLI00080,PROD0299,2023-03-22,2,14557.94,29115.88,Distribuidor,SUC001,M. Rojas
VEN000134,CLI00349,PROD0201,2023-08-09,8,10639.89,85119.12,Call Center,SUC010,L. Pérez
VEN000135,CLI01078,PROD0037,2024-08-05,10,11622.38,116223.8,Tienda,SUC002,C. Vargas
VEN000136,CLI00533,PROD0081,2023-07-16,9,14280.1,128520.9,Marketplace,SUC010,M. Rojas
VEN000137,CLI00582,PROD9402,2023-11-30,6,10599.31,63595.86,,SUC008,C. Vargas
VEN000138,CLI00735,PROD0261,2024-08-24,5,14371.45,71857.25,,SUC007,C. Vargas
VEN000139,CLI00482,PROD0159,2024-03-07,6,225.1,1350.6,Tienda,SUC008,M. Rojas
VEN000140,CLI00318,PROD0019,2023-05-01,2,12731.04,25462.08,Distribuidor,SUC002,M. Rojas
VEN000141,CLI00221,PROD0230,2023-11-02,3,9910.93,29732.79,,SUC002,L. Pérez
VEN000142,CLI00682,PROD0164,2025-09-13,10,1234.31,12343.1,Marketplace,SUC007,A. Torres
VEN000143,CLI01131,PROD0301,2024-03-05,5,13532.74,67663.7,Marketplace,SUC999,A. Torres
VEN000144,CLI00746,PROD0081,2024-01-28,7,14280.1,99960.7,Call Center,SUC002,A. Torres
VEN000145,CLI00065,PROD0130,2024-01-18,7,11862.56,83037.92,Marketplace,SUC008,C. Vargas
VEN000146,CLI00663,PROD0231,2025-05-14,3,2381.14,8948.03,,SUC006,
VEN000147,CLI00377,PROD0004,2024-05-28,3,8830.39,26491.17,Marketplace,SUC002,C. Vargas
VEN000148,CLI00686,PROD0076,2023-10-15,1,11438.21,11438.21,Tienda,SUC009,
VEN000149,CLI01015,PROD0143,2024-01-05,4,7655.59,30622.36,Marketplace,SUC001,A. Torres
VEN000150,CLI00739,PROD0176,2025-02-02,10,7024.56,70245.6,Call Center,SUC001,A. Torres
VEN000151,CLI00989,PROD0257,2024-03-08,4,5820.26,23281.04,Tienda,SUC006,
VEN000152,CLI00561,PROD0272,2025-12-18,7,3034.65,21242.55,Distribuidor,SUC010,
VEN000153,CLI00403,PROD0223,2025-07-20,1,7382.46,7382.46,,SUC010,
VEN000154,CLI00595,PROD0276,2023-04-02,8,2352.39,18819.12,Call Center,SUC006,A. Torres
VEN000155,CLI00835,PROD0302,2025-08-29,2,8471.31,16942.62,Marketplace,SUC008,
VEN000156,CLI01172,PROD0119,2024-04-01,6,4861.59,29169.54,Marketplace,SUC005,L. Pérez
VEN000157,CLI00080,PROD0118,2024-06-04,10,341.22,3412.2,Marketplace,SUC005,A. Torres
VEN000158,CLI01087,PROD0118,2024-03-30,1,341.22,341.22,Marketplace,SUC004,C. Vargas
VEN000159,CLI00005,PROD0221,2023-06-05,1,4842.27,4842.27,Call Center,SUC009,
VEN000160,CLI00854,PROD0009,2024-09-19,9,13255.12,119296.08,Distribuidor,SUC999,A. Torres
VEN000161,CLI01018,PROD0298,2025-12-29,4,9006.78,36027.12,,SUC009,L. Pérez
VEN000162,CLI00238,PROD0121,2026-02-22,7,14125.34,98877.38,,SUC006,M. Rojas
VEN000163,CLI01117,PROD0336,2023-01-30,4,3271.36,13085.44,,SUC007,A. Torres
VEN000164,CLI00674,PROD0332,2025-09-09,4,5552.34,22209.36,Online,SUC002,M. Rojas
VEN000165,CLI00529,PROD0087,2024-06-10,5,12424.92,62124.6,Marketplace,SUC003,C. Vargas
VEN000166,CLI00418,PROD0084,2023-07-19,6,14593.44,87560.64,Call Center,SUC005,
VEN000167,CLI01124,PROD0328,2023-11-15,2,427.32,854.64,Online,SUC001,M. Rojas
VEN000168,CLI00136,PROD0139,2023-08-21,3,11596.56,34789.68,Marketplace,SUC006,A. Torres
VEN000169,CLI01025,PROD0274,2025-11-12,8,8308.12,66464.96,Online,SUC008,
VEN000170,CLI00570,PROD0043,2023-07-08,6,11457.69,68746.14,Call Center,SUC003,C. Vargas
VEN000171,CLI00388,PROD0280,2023-02-07,5,5834.17,29170.85,Distribuidor,SUC002,A. Torres
VEN000172,CLI00333,PROD0075,2023-11-25,6,5312.77,31876.62,Distribuidor,SUC009,M. Rojas
VEN000173,CLI00981,PROD0324,2023-03-03,6,4939.52,29637.12,Call Center,SUC007,C. Vargas
VEN000174,CLI00213,PROD0263,2024-03-10,7,8007.96,56055.72,Tienda,SUC004,
VEN000175,CLI00991,PROD0301,2024-04-09,2,13532.74,27065.48,,SUC008,
VEN000176,CLI00938,PROD0199,2025-01-25,6,12061.22,72367.32,Tienda,SUC001,A. Torres
VEN000177,CLI00928,PROD0097,2026-03-15,1,2672.04,2672.04,Call Center,SUC001,L. Pérez
VEN000178,CLI00694,PROD0213,2024-10-07,0,10256.52,0.0,Marketplace,SUC002,M. Rojas
VEN000179,CLI00197,PROD0305,2026-02-23,9,12381.31,111431.79,Online,SUC010,M. Rojas
VEN000180,CLI00970,PROD0254,2026-02-03,9,12943.46,116491.14,,SUC006,A. Torres
VEN000181,CLI00067,PROD0327,2024-05-18,6,3254.42,19526.52,Call Center,SUC009,C. Vargas
VEN000182,CLI00601,PROD0020,2023-04-23,2,6274.86,12549.72,Call Center,SUC999,M. Rojas
VEN000183,CLI00529,PROD0195,2024-07-28,3,12400.7,37202.1,Call Center,SUC007,A. Torres
VEN000184,CLI01088,PROD0187,2025-10-17,2,3180.25,6360.5,Call Center,SUC005,C. Vargas
VEN000185,CLI00047,PROD0014,2024-11-02,5,9121.28,45606.4,Tienda,SUC002,M. Rojas
VEN000186,CLI01076,PROD0309,2023-07-25,10,7000.85,70008.5,Call Center,SUC002,A. Torres
VEN000187,CLI00542,PROD0171,2023-09-11,6,5899.01,35394.06,Tienda,SUC010,M. Rojas
VEN000188,CLI01193,PROD0041,2024-09-29,4,292.94,1171.76,Distribuidor,SUC009,A. Torres
VEN000189,CLI01125,PROD0296,2024-08-31,9,9136.87,82231.83,Distribuidor,SUC999,L. Pérez
VEN000190,CLI00206,PROD0207,2024-09-30,1,841.92,841.92,Marketplace,SUC002,L. Pérez
VEN000191,CLI00552,PROD0027,2023-05-21,3,12537.37,37612.11,Online,SUC010,A. Torres
VEN000192,CLI00219,PROD0245,2025-08-18,1,13527.72,13527.72,Call Center,SUC007,
VEN000193,CLI00219,PROD0136,2026-02-23,3,13884.08,41652.24,Tienda,SUC002,L. Pérez
VEN000194,CLI00345,PROD0095,2023-08-01,10,10831.03,108310.3,,SUC001,C. Vargas
VEN000195,CLI00448,PROD0065,2025-11-09,3,4309.44,12928.32,Tienda,SUC007,A. Torres
VEN000196,CLI01072,PROD0140,2024-01-20,10,5737.23,57372.3,Marketplace,SUC009,M. Rojas
VEN000197,CLI00122,PROD0221,2025-03-06,4,4842.27,19369.08,Tienda,SUC009,L. Pérez
VEN000198,CLI00706,PROD0070,2025-04-22,7,9927.44,69492.08,Distribuidor,SUC005,L. Pérez
VEN000199,CLI00511,PROD0316,2025-05-10,2,7412.21,14824.42,Call Center,SUC999,
VEN000200,CLI01020,PROD0001,2025-04-10,2,9563.34,19126.68,Distribuidor,SUC004,L. Pérez
VEN000201,CLI00263,PROD0296,2026-04-03,3,9136.87,27410.61,Online,SUC999,M. Rojas
VEN000202,CLI93782,PROD0021,2023-04-06,4,1305.33,5221.32,,SUC002,C. Vargas
VEN000203,CLI00273,PROD0112,2023-08-19,5,11454.65,57273.25,Distribuidor,SUC001,M. Rojas
VEN000204,CLI00227,PROD0008,2023-08-08,7,5690.78,39835.46,Call Center,SUC004,C. Vargas
VEN000205,CLI00296,PROD0076,2025-01-25,2,11438.21,22876.42,Call Center,SUC007,C. Vargas
VEN000206,CLI01063,PROD0349,2025-06-27,5,7870.66,39353.3,,SUC004,M. Rojas
VEN000207,CLI00424,PROD0200,2024-01-21,6,4858.86,29153.16,,SUC999,M. Rojas
VEN000208,CLI01004,PROD0251,2025-06-14,5,12782.67,63913.35,Online,SUC005,A. Torres
VEN000209,CLI00888,PROD0238,2023-05-06,3,3468.24,10404.72,Online,SUC008,
VEN000210,CLI00593,PROD0105,2023-08-15,7,1790.28,12531.96,Call Center,SUC003,L. Pérez
VEN000211,CLI00573,PROD0091,2027-08-26,7,8936.7,62556.9,Distribuidor,SUC002,
VEN000212,CLI00931,PROD0179,2024-04-04,5,12552.63,62763.15,Marketplace,SUC004,L. Pérez
VEN000213,CLI00977,PROD0200,2023-11-25,5,4858.86,24294.3,Marketplace,SUC004,C. Vargas
VEN000214,CLI00274,PROD0009,2025-09-22,4,13255.12,53020.48,Marketplace,SUC004,
VEN000215,CLI01044,PROD0329,2023-08-13,3,14204.59,42613.77,Call Center,SUC006,
VEN000216,CLI00522,PROD0051,2025-11-23,5,223.25,1116.25,Call Center,SUC007,A. Torres
VEN000217,CLI00129,PROD0291,2024-05-09,2,6322.98,12645.96,Call Center,SUC005,M. Rojas
VEN000218,CLI01139,PROD0315,2025-12-21,10,14104.84,141048.4,Tienda,SUC999,C. Vargas
VEN000219,CLI01083,PROD0002,2024-11-01,3,10953.38,44916.43,,SUC009,C. Vargas
VEN000220,CLI01164,PROD0175,2025-09-12,1,6842.79,6842.79,Tienda,SUC003,A. Torres
VEN000221,CLI00628,PROD0218,2024-07-10,5,2371.03,11855.15,Distribuidor,SUC004,C. Vargas
VEN000222,CLI01158,PROD0289,2023-07-16,6,4736.45,28418.7,Marketplace,SUC008,
VEN000223,CLI00402,PROD0126,2023-04-04,6,13067.34,78404.04,Call Center,SUC006,C. Vargas
VEN000224,CLI00494,PROD0273,2025-10-06,6,5067.74,30406.44,Tienda,SUC007,
VEN000225,CLI00034,PROD0040,2026-03-03,2,2254.99,4509.98,Tienda,SUC004,C. Vargas
VEN000226,CLI00090,PROD0105,2025-04-24,8,1790.28,14322.24,Distribuidor,SUC002,A. Torres
VEN000227,CLI01124,PROD0226,2024-03-28,3,755.75,2267.25,,SUC004,M. Rojas
VEN000228,CLI00760,PROD0050,2024-06-09,1,12063.08,12063.08,Online,SUC010,C. Vargas
VEN000229,CLI00247,PROD0144,2025-07-10,10,5437.87,54378.7,Tienda,SUC002,L. Pérez
VEN000230,CLI00485,PROD0314,2023-07-11,2,10855.51,21711.02,Call Center,SUC010,
VEN000231,CLI00494,PROD0023,2024-07-21,8,8544.19,68353.52,Distribuidor,SUC003,A. Torres
VEN000232,CLI01003,PROD0111,2024-11-08,7,1463.79,10246.53,Online,SUC002,
VEN000233,CLI01194,PROD0118,2024-07-22,10,341.22,3412.2,Online,SUC007,L. Pérez
VEN000234,CLI00731,PROD0232,2023-12-03,9,11062.67,99564.03,Online,SUC002,
VEN000235,CLI00044,PROD0342,2024-01-30,5,5234.48,26172.4,Tienda,SUC003,M. Rojas
VEN000236,CLI00093,PROD0092,2024-03-04,4,5472.73,21890.92,Tienda,SUC003,L. Pérez
VEN000237,CLI00944,PROD0032,2024-04-07,8,8822.97,70583.76,Distribuidor,SUC003,A. Torres
VEN000238,CLI00242,PROD0105,2024-09-05,6,1790.28,10741.68,,SUC007,M. Rojas
VEN000239,CLI00130,PROD0082,2023-12-17,8,1921.53,15372.24,Call Center,SUC001,
VEN000240,CLI00359,PROD0216,2023-06-23,2,7634.56,15269.12,Tienda,SUC004,A. Torres
VEN000241,CLI00315,PROD0213,2025-06-09,2,10256.52,20513.04,Tienda,SUC003,L. Pérez
VEN000242,CLI01066,PROD0285,2026-04-14,9,9839.89,88559.01,Call Center,SUC008,M. Rojas
VEN000243,CLI01092,PROD0339,2024-03-17,10,12164.79,121647.9,Marketplace,SUC007,M. Rojas
VEN000244,CLI00912,PROD0143,2024-06-16,6,7655.59,45933.54,Distribuidor,SUC004,A. Torres
VEN000245,CLI00402,PROD0208,2025-02-08,5,10969.19,54845.95,Distribuidor,SUC008,A. Torres
VEN000246,CLI01191,PROD0060,2023-04-21,3,4932.5,14797.5,Tienda,SUC009,A. Torres
VEN000247,CLI01148,PROD0246,2026-04-04,7,4551.2,31858.4,,SUC003,A. Torres
VEN000248,CLI01061,PROD0093,2024-04-19,9,10115.52,91039.68,Tienda,SUC004,A. Torres
VEN000249,CLI01042,PROD0311,2023-06-01,9,8817.88,79360.92,Tienda,SUC009,
VEN000250,CLI00172,PROD0174,2026-01-05,9,11586.29,104276.61,Online,SUC005,L. Pérez
VEN000251,CLI00681,PROD0282,2024-01-01,3,14614.15,43842.45,Online,SUC007,C. Vargas
VEN000252,CLI00421,PROD0072,2023-07-03,4,2542.68,10170.72,Distribuidor,SUC003,
VEN000253,CLI00906,PROD0037,2026-01-24,7,11622.38,81356.66,Online,SUC006,C. Vargas
VEN000254,CLI00338,PROD0349,2024-11-22,5,7870.66,39353.3,Online,SUC001,A. Torres
VEN000255,CLI00056,PROD0341,2023-03-04,1,8191.63,8191.63,Online,SUC006,M. Rojas
VEN000256,CLI01200,PROD0042,2024-01-25,2,7088.47,14176.94,Marketplace,SUC002,C. Vargas
VEN000257,CLI01104,PROD0332,2023-04-28,6,5552.34,33314.04,,SUC010,A. Torres
VEN000258,CLI00307,PROD0181,2025-02-15,6,13062.38,78374.28,,SUC002,
VEN000259,CLI00594,PROD0150,2023-11-23,5,5007.15,25035.75,Online,SUC009,M. Rojas
VEN000260,CLI01181,PROD0277,2024-08-11,8,13058.89,104471.12,Marketplace,SUC009,A. Torres
VEN000261,CLI00309,PROD0090,2025-10-23,5,11366.86,56834.3,Distribuidor,SUC001,L. Pérez
VEN000262,CLI00778,PROD0241,2025-11-04,1,3049.71,3049.71,Marketplace,SUC008,A. Torres
VEN000263,CLI00091,PROD0307,2023-01-06,1,11045.65,11045.65,,SUC005,M. Rojas
VEN000264,CLI00774,PROD0177,2023-07-01,6,1374.17,8245.02,Call Center,SUC009,L. Pérez
VEN000265,CLI01086,PROD0077,2025-02-12,7,4329.94,30309.58,Distribuidor,SUC002,M. Rojas
